Male_ID,court_white,court_red,type,redYN,yellowYN
B21_829,7,15,CCx(CCxTTC),Y,N
B21_831,10,1,CCx(CCxTTC),N,Y
B21_832,14,5,CCx(CCxTTC),Y,N
B21_835,12,2,CCx(CCxTTC),Y,N
B21_836,7,4,CCx(CCxTTC),N,N
B21_837,7,12,CCx(CCxTTC),Y,N
B21_838,3,7,CCx(CCxTTC),Y,N
B21_882,9,2,CCx(CCxTTC),Y,N
B21_883,3,4,CCx(CCxTTC),N,Y
B21_887,6,7,CCx(CCxTTC),N,Y
B21_890,13,5,CCx(CCxTTC),N,N
B21_892,4,8,CCx(CCxTTC),Y,N
B21_932,15,4,CCx(CCxTTC),Y,N
B21_933,7,3,CCx(CCxTTC),Y,N
B21_934,10,4,CCx(CCxTTC),N,N
B21_948,6,3,CCx(CCxTTC),Y,N
B21_950,3,11,CCx(CCxTTC),N,N
B21_977,7,0,CCx(CCxTTC),Y,N
B21_978,0,0,CCx(CCxTTC),Y,N
B21_997,3,5,CCx(CCxTTC),Y,N
B21_999,3,2,CCx(CCxTTC),Y,N
C20_802,0,0,TTC,Y,N
C20_810,9,11,CC,N,N
C20_811,4,4,CC,N,N
C20_812,0,5,TTC,Y,N
C20_825,0,1,TTC,Y,N
C20_826,2,5,CC,N,N
C20_837,4,7,CC,N,N
C20_842,2,1,CC,N,N
C20_848,0,1,TTC,Y,N
C20_853,14,10,CC,N,N
C20_854,0,0,TTC,Y,N
C20_857,0,0,TTC,Y,N
C20_863,13,16,CC,N,N
C20_871,3,4,CC,N,N
C20_876,0,0,CC,N,N
C20_881,8,5,CC,N,N
C20_882,10,3,CC,N,N
C20_886,4,1,CC,N,N
C20_891,3,0,CC,N,N
C20_892,3,2,CC,N,N
C20_900,8,4,CC,N,N
C20_911,18,8,CC,N,N
C20_912,4,6,CC,N,N
C20_913,17,9,CC,N,N
C20_915,8,14,CC,N,N
C20_934,5,13,CC,N,N
C20_940,3,1,CC,N,N
C20_942,0,0,CC,N,N
C20_952,0,0,CC,N,N
C20_958,12,12,CCx(CCxTTC),N,Y
C20_959,3,2,CC,N,N
C20_964,9,12,CCx(CCxTTC),N,N
C20_965,0,0,CC,N,N
C20_966,20,15,CCx(CCxTTC),N,Y
C20_967,4,1,CC,N,N
C20_973,15,4,CCx(CCxTTC),N,Y
C20_974,8,6,CCx(CCxTTC),N,Y
C20_983,0,0,CC,N,N
C20_992,18,11,CCx(CCxTTC),N,N
C21_001,3,9,CCx(CCxTTC),Y,N
C21_005,3,3,CCx(CCxTTC),N,N
C21_025,4,3,CCx(CCxTTC),Y,N
C21_026,5,2,CCx(CCxTTC),N,N
C21_048,4,13,CCx(CCxTTC),N,N
C21_049,3,2,CCx(CCxTTC),Y,N
C21_050,1,2,CCx(CCxTTC),N,N
C21_051,11,2,CCx(CCxTTC),N,Y
C21_065,2,10,CCx(CCxTTC),N,Y
C21_067,5,6,CCx(CCxTTC),Y,N
C21_095,3,3,CCx(CCxTTC),Y,N
C21_096,8,2,CCx(CCxTTC),N,N
C21_097,11,23,CCx(CCxTTC),Y,N
C21_098,7,7,CCx(CCxTTC),Y,N
C21_109,1,2,CCx(CCxTTC),Y,N
C21_111,1,4,CCx(CCxTTC),Y,N
C21_119,9,1,CCx(CCxTTC),N,N
C21_127,12,9,CCx(CCxTTC),Y,N
C21_129,10,20,CCx(CCxTTC),Y,N
C21_131,3,7,CCx(CCxTTC),N,N
C21_140,11,2,CCx(CCxTTC),N,N
C21_205,4,3,CCx(CCxTTC),Y,N
C21_223,7,5,CCx(CCxTTC),N,N
C21_245,10,6,CCx(CCxTTC),Y,N
C21_267,5,5,CC,N,N
C21_286,0,6,CCx(CCxTTC),Y,N
C21_289,7,5,CCx(CCxTTC),Y,N
C21_295,1,0,CCx(CCxTTC),N,N
C21_304,3,5,CCx(CCxTTC),N,N
C21_317,2,22,CCx(CCxTTC),Y,N
C21_361,15,2,CCx(CCxTTC),Y,N
C21_362,12,14,CCx(CCxTTC),N,N
C21_367,6,0,CCx(CCxTTC),N,N
C21_368,0,6,CCx(CCxTTC),N,N
C21_441,12,9,CCx(CCxTTC),Y,N
C21_461,9,8,CCx(CCxTTC),Y,N
C21_469,9,4,CCx(CCxTTC),N,N
C21_505,16,11,CCx(CCxTTC),Y,N
C21_516,17,8,CCx(CCxTTC),Y,N
C21_517,5,18,CCx(CCxTTC),Y,N
C21_573,14,11,CCx(CCxTTC),N,N
C21_612,18,10,CCx(CCxTTC),Y,N
C21_613,26,21,CCx(CCxTTC),N,N
C21_636,2,6,CCx(CCxTTC),Y,N
C21_637,8,15,CCx(CCxTTC),Y,N
C21_638,13,11,CCx(CCxTTC),Y,N
C21_735,3,4,CCx(CCxTTC),Y,N
C21_737,9,7,CCx(CCxTTC),Y,N
C21_807,13,15,CCx(CCxTTC),Y,N
